ZipCode,TaxRegionName,EstimatedCombinedRate
91426,LOS ANGELES,0.095
91436,LOS ANGELES,0.095
91470,LOS ANGELES,0.095
91482,LOS ANGELES,0.095
91495,LOS ANGELES,0.095
91496,LOS ANGELES,0.095
91501,BURBANK,0.1025
91502,BURBANK,0.1025
91503,BURBANK,0.1025
91504,BURBANK,0.1025
91505,BURBANK,0.1025
91506,BURBANK,0.1025
91507,BURBANK,0.1025
91508,BURBANK,0.1025
91510,BURBANK,0.1025
91521,BURBANK,0.1025
91522,BURBANK,0.1025
91523,BURBANK,0.1025
91526,BURBANK,0.1025
91601,LOS ANGELES,0.095
91602,LOS ANGELES,0.095
91603,LOS ANGELES,0.095
91604,LOS ANGELES,0.095
91605,LOS ANGELES,0.095
91606,LOS ANGELES,0.095
91607,LOS ANGELES,0.095
91608,LOS ANGELES COUNTY,0.095
91609,LOS ANGELES,0.095
91610,LOS ANGELES,0.095
91611,LOS ANGELES,0.095
91612,LOS ANGELES,0.095
91614,LOS ANGELES,0.095
91615,LOS ANGELES,0.095
91617,LOS ANGELES,0.095
91618,LOS ANGELES,0.095
91701,RANCHO CUCAMONGA,0.0775
91702,AZUSA,0.1025
91706,BALDWIN PARK,0.095
91708,CHINO,0.0775
91709,CHINO HILLS,0.0775
91710,CHINO,0.0775
91711,CLAREMONT,0.095
91714,INDUSTRY,0.095
91715,INDUSTRY,0.095
91722,COVINA,0.1025
91723,COVINA,0.1025
91724,COVINA,0.1025
91729,RANCHO CUCAMONGA,0.0775
91730,RANCHO CUCAMONGA,0.0775
91731,EL MONTE,0.1
91732,EL MONTE,0.1
91733,SOUTH EL MONTE,0.1025
91734,EL MONTE,0.1
91737,RANCHO CUCAMONGA,0.0775
91739,RANCHO CUCAMONGA,0.0775
91740,GLENDORA,0.1025
91741,GLENDORA,0.1025
91743,ONTARIO,0.0775
91744,LA PUENTE,0.1
91745,LOS ANGELES COUNTY,0.095
91746,LOS ANGELES COUNTY,0.095
91747,LA PUENTE,0.1
91748,LOS ANGELES COUNTY,0.095
91750,LA VERNE,0.1025
91752,JURUPA VALLEY,0.0775
91754,MONTEREY PARK,0.095
91755,MONTEREY PARK,0.095
91756,MONTEREY PARK,0.095
91759,SAN BERNARDINO COUNTY,0.0775
91761,ONTARIO,0.0775
91762,ONTARIO,0.0775
91763,MONTCLAIR,0.09
91764,ONTARIO,0.0775
91765,DIAMOND BAR,0.095
91766,POMONA,0.1025
91767,POMONA,0.1025
91768,POMONA,0.1025
91769,POMONA,0.1025
91770,ROSEMEAD,0.095
91771,ROSEMEAD,0.095
91772,ROSEMEAD,0.095
91773,SAN DIMAS,0.095
91775,LOS ANGELES COUNTY,0.095
91776,SAN GABRIEL,0.1025
91778,SAN GABRIEL,0.1025
91780,TEMPLE CITY,0.095
91784,UPLAND,0.0775
91785,UPLAND,0.0775
91786,UPLAND,0.0775
91788,WALNUT,0.095
91789,WALNUT,0.095
91790,WEST COVINA,0.095
91791,WEST COVINA,0.095
91792,WEST COVINA,0.095
91793,WEST COVINA,0.095
91801,ALHAMBRA,0.1025
91802,ALHAMBRA,0.1025
91803,ALHAMBRA,0.1025
91804,ALHAMBRA,0.1025
91896,ALHAMBRA,0.1025
91899,ALHAMBRA,0.1025
91901,SAN DIEGO COUNTY,0.0775
91902,SAN DIEGO COUNTY,0.0775
91903,SAN DIEGO COUNTY,0.0775
91905,SAN DIEGO COUNTY,0.0775
91906,SAN DIEGO COUNTY,0.0775
91908,SAN DIEGO COUNTY,0.0775
91910,CHULA VISTA,0.0875
91911,CHULA VISTA,0.0875
91912,CHULA VISTA,0.0875
91913,CHULA VISTA,0.0875
91914,CHULA VISTA,0.0875
91915,CHULA VISTA,0.0875
91916,SAN DIEGO COUNTY,0.0775
91917,SAN DIEGO COUNTY,0.0775
91921,CHULA VISTA,0.0875
91931,SAN DIEGO COUNTY,0.0775
91932,IMPERIAL BEACH,0.0875
91933,IMPERIAL BEACH,0.0875
91934,SAN DIEGO COUNTY,0.0775
91935,SAN DIEGO COUNTY,0.0775
91941,LA MESA,0.085
91942,LA MESA,0.085
91943,LA MESA,0.085
91944,LA MESA,0.085
91945,LEMON GROVE,0.0775
